,school_name,full_add,postal_code,mrt_desc,bus_desc,dgp_code,nature_code,mainlevel_code,latlong
0,NATIONAL JUNIOR COLLEGE,37 HILLCREST ROAD,288913,"BOTANIC GARDENS MRT, TAN KAH KEE MRT, SIXTH AVENUE MRT","151, 154, 156, 157, 170, 170X, 171, 174, 66, 67, 67A, 67W, 74, 852, 961, 961C",BUKIT TIMAH,CO-ED SCHOOL,MIXED LEVEL,"1.33042992800757,103.804458713785"
1,TEMASEK JUNIOR COLLEGE,22 BEDOK SOUTH ROAD,469278,BEDOK MRT,"12, 16, 31, 38, 47, 137, 155, 196, 197, 229",BEDOK,CO-ED SCHOOL,MIXED LEVEL,"1.31846190599677,103.93559797008899"
2,VICTORIA JUNIOR COLLEGE,20 MARINE VISTA,449035,"Nearest MRT Stations:  Kembangan, Eunos","13, 16, 31, 36, 43, 48, 55, 135, 196, 196e, 197",BEDOK,CO-ED SCHOOL,JUNIOR COLLEGE,"1.3057179654943,103.919531033331"
3,EUNOIA JUNIOR COLLEGE,53 MOUNT SINAI ROAD,276880,"Buona Vista MRT Station, Dover MRT Station","92, 100, 105, 106, 111, 147, 185",BISHAN,CO-ED SCHOOL,JUNIOR COLLEGE,"1.3137449647427601,103.786441132957"
4,ANDERSON SERANGOON JUNIOR COLLEGE,4500 ANG MO KIO AVENUE 6,569843,Yio Chu Kang MRT Station,"13, 45, 86, 162, 269, 825, 851, 852, 853",ANG MO KIO,CO-ED SCHOOL,JUNIOR COLLEGE,"1.37839670972544,103.845885968342"
5,YISHUN INNOVA JUNIOR COLLEGE,3 YISHUN RING ROAD,768675,"Yishun, Khatib","800, 812, 167, 169, 171, 980",YISHUN,CO-ED SCHOOL,JUNIOR COLLEGE,"1.4246188449173103,103.82963435931299"
6,TAMPINES MERIDIAN JUNIOR COLLEGE,21 PASIR RIS STREET 71,518799,Pasir Ris MRT Station,"3, 39, 53, 81, 89, 109, 358, 518",PASIR RIS,CO-ED SCHOOL,JUNIOR COLLEGE,"1.37674192921325,103.937553253083"
7,JURONG PIONEER JUNIOR COLLEGE,21 TECK WHYE WALK,688258,Choa Chu Kang / Bt Panjang / Phoenix Station (LRT),"975, 190, 985",CHOA CHU KANG,CO-ED SCHOOL,JUNIOR COLLEGE,"1.3846094909961497,103.753932798395"
8,CATHOLIC JUNIOR COLLEGE,129 WHITLEY ROAD,297822,Toa Payoh MRT Station Novena MRT Station Orchard MRT Station,"105, 132, 151, 153, 154, 156, 186, 996, 985",NOVENA,CO-ED SCHOOL,JUNIOR COLLEGE,"1.32464877076272,103.83555142926599"
9,ANGLO-CHINESE JUNIOR COLLEGE,25 DOVER CLOSE EAST,139745,Buona Vista,"74,95,100,105,106,111,145,147,191,196,198,602",QUEENSTOWN,CO-ED SCHOOL,JUNIOR COLLEGE,"1.30328795437359,103.785262975405"
10,ST. ANDREW'S JUNIOR COLLEGE,5 SORBY ADAMS DRIVE,357691,Potong Pasir NE10,"SBSTransit: 8, 26, 31, 90, 142 ,151, 154 (Diocese of Singapore) SMRT Buses:  857, 966, 985 (Diocese of Singapore),  853 (Upper Serangoon Road)",TOA PAYOH,CO-ED SCHOOL,JUNIOR COLLEGE,"1.33278888819869,103.86348127954001"
11,NANYANG JUNIOR COLLEGE,128 SERANGOON AVENUE 3,556111,2-minute walk from the Lorong Chuan MRT Station (Circle Line),"22, 24, 53, 73, 133, 105, 135, 136, 156, 853",SERANGOON,CO-ED SCHOOL,JUNIOR COLLEGE,"1.35028314921864,103.86649872164"
12,HWA CHONG INSTITUTION,661 BUKIT TIMAH ROAD,269734,TAN KAH KEE MRT,"66, 67, 74, 151, 154, 156, 157, 170, 171, 174, 852, 961",BUKIT TIMAH,CO-ED SCHOOL,MIXED LEVEL,"1.32561493280911,103.805730574839"
13,MILLENNIA INSTITUTE,60 BUKIT BATOK WEST AVENUE 8,658965,Bukit Batok (NS-2),"66, 157, 174, 174E, 506 , 178, 941, 174M - Night",BUKIT BATOK,CO-ED SCHOOL,CENTRALISED INSTITUTE,"1.3503192956551298,103.74159355375299"
14,BUKIT PANJANG PRIMARY SCHOOL,109 CASHEW ROAD,679676,From Pending LRT station to Choa Chu Kang MRT station,"75, 184",BUKIT PANJANG,CO-ED SCHOOL,PRIMARY,"1.37347219247538,103.76931748390999"
15,HAIG GIRLS' SCHOOL,51 KOON SENG ROAD,427072,"Eunos, Dakota","16,33",GEYLANG,GIRLS' SCHOOL,PRIMARY,"1.31153911414312,103.90339359209699"
16,TECK WHYE PRIMARY SCHOOL,11 TECK WHYE WALK,688261,Chua Chu Kang MRT & LRTs,"975, 190 & 985",CHOA CHU KANG,CO-ED SCHOOL,PRIMARY,"1.3835583030836698,103.75368281045701"
17,JURONG PRIMARY SCHOOL,320 JURONG EAST STREET 32,609476,"Lakeside MRT Station, Jurong East MRT Station",333,JURONG EAST,CO-ED SCHOOL,PRIMARY,"1.3486845115193702,103.732974782772"
18,QUEENSTOWN PRIMARY SCHOOL,310 MARGARET DR,149303,Queenstown MRT,"32, 111, 145, 195",QUEENSTOWN,CO-ED SCHOOL,PRIMARY,"1.29559366049206,103.80754862413099"
19,RADIN MAS PRIMARY SCHOOL,1 BUKIT PURMEI AVENUE,99840,Tiong Bahru MRT HarbourFront MRT,"SBS 123, 131, 275 SBS 65",BUKIT MERAH,CO-ED SCHOOL,PRIMARY,"1.27496161242002,103.824179967969"
20,RAFFLES GIRLS' PRIMARY SCHOOL,21 HILLCREST ROAD,289072,TAN KAH KEE MRT STATION,"66, 67, 74, 151, 154, 156, 157, 170, 171, 174, 852, 961",BUKIT TIMAH,GIRLS' SCHOOL,PRIMARY,"1.3300739190858402,103.806221335243"
21,ROSYTH SCHOOL,21 SERANGOON NORTH AVENUE 4,555855,"Ang Mo Kio, Serangoon","73, 315, 116",SERANGOON,CO-ED SCHOOL,PRIMARY,"1.37291579617884,103.874693245991"
22,DAMAI PRIMARY SCHOOL,52 BEDOK RESERVOIR CRESCENT,479226,Bedok North MRT Station,"Bus 228,66,65,22,21,5 and 506",BEDOK,CO-ED SCHOOL,PRIMARY,"1.3353513149890301,103.921268322538"
23,FUHUA PRIMARY SCHOOL,65 JURONG EAST STREET 13,609647,JURONG EAST MRT STATION,"51,66,66B,78,79,97,97A,98,105,105B,143,176,197,333,334,335,506",JURONG EAST,CO-ED SCHOOL,PRIMARY,"1.3364037629135102,103.736669454731"
24,WOODLANDS PRIMARY SCHOOL,10 WOODLANDS DRIVE 50,738853,Woodlands,912 & 912E,WOODLANDS,CO-ED SCHOOL,PRIMARY,"1.43674638306535,103.79177169378299"
25,EUNOS PRIMARY SCHOOL,95 JALAN EUNOS,419529,Nearest MRT Station - Eunos,"Bus Services (SBS): 15, 21, 25, 51, 55, 63, 93, 94, 60 Bus Services (SMRT) : 61, 854, 966",GEYLANG,CO-ED SCHOOL,PRIMARY,"1.32438836310048,103.90437479125099"
26,HENRY PARK PRIMARY SCHOOL,1 HOLLAND GROVE ROAD,278790,"Buona Vista MRT, Clementi MRT","7, 61, 75, 156, 157, 165, 92",BUKIT TIMAH,CO-ED SCHOOL,PRIMARY,"1.31672581051653,103.78420830194"
27,BENDEMEER PRIMARY SCHOOL,91 BENDEMEER ROAD,339948,"Boon Keng, Kallang","13 23 31 61 64 65 65M 66 125, 125X ,133,140,147,853,857,985",KALLANG,CO-ED SCHOOL,PRIMARY,"1.32220847517489,103.86535132982999"
28,CORPORATION PRIMARY SCHOOL,31 JURONG WEST STREET 24,648347,BOON LAY STATION LAKESIDE STATION,"157 (from Boon Lay Interchange), or 185",JURONG WEST,CO-ED SCHOOL,PRIMARY,"1.3514854904635802,103.7075783976"
29,YIO CHU KANG PRIMARY SCHOOL,1 HOUGANG STREET 51,538720,Hougang MRT Station Yio Chu Kang MRT Station,"88,101,109,159,161 and 325",HOUGANG,CO-ED SCHOOL,PRIMARY,"1.3778227088538102,103.885568719387"
30,BLANGAH RISE PRIMARY SCHOOL,91 TELOK BLANGAH HEIGHTS,109100,"Telok Blangah, Tiong Bahru & Redhill",SBS 273 & 124,BUKIT MERAH,CO-ED SCHOOL,PRIMARY,"1.27613030444272,103.808639211285"
31,ANG MO KIO PRIMARY SCHOOL,20 ANG MO KIO AVENUE 3,569920,Ang Mo Kio MRT Station,"76,132,165,166,169,265,268,269",ANG MO KIO,CO-ED SCHOOL,PRIMARY,"1.36761615151368,103.84421461742201"
32,MAYFLOWER PRIMARY SCHOOL,200 ANG MO KIO AVE 5,569878,Yio Chu Kang MRT Station.,"13,86,138,162,269,851,852,853.",ANG MO KIO,CO-ED SCHOOL,PRIMARY,"1.37639873282244,103.843165756947"
33,TECK GHEE PRIMARY SCHOOL,1 ANG MO KIO STREET 32,569299,Ang Mo Kio & Bishan,"22,24,135,853,162,262,159",ANG MO KIO,CO-ED SCHOOL,PRIMARY,"1.3652006311358702,103.851032163057"
34,TEMASEK PRIMARY SCHOOL,501 BEDOK SOUTH AVE 3,469300,Tanah Merah MRT,"229, 10, 14, 13, 48, 43, 506",BEDOK,CO-ED SCHOOL,PRIMARY,"1.317706781809,103.945590673243"
35,SI LING PRIMARY SCHOOL,61 WOODLANDS AVENUE 1,739067,Woodlands,912 from Woodlands Interchange,WOODLANDS,CO-ED SCHOOL,PRIMARY,"1.4326998657579197,103.785778769275"
36,JING SHAN PRIMARY SCHOOL,5 ANG MO KIO ST 52,569228,Ang Mo Kio MRT,Bus 265,ANG MO KIO,CO-ED SCHOOL,PRIMARY,"1.3719644572011203,103.851763531681"
37,YISHUN PRIMARY SCHOOL,500 YISHUN RING ROAD,768679,Yishun,Translink Feeder Service 800 & 812,YISHUN,CO-ED SCHOOL,PRIMARY,"1.4334963919514,103.83402741410299"
38,STAMFORD PRIMARY SCHOOL,1 VICTORIA LANE,198423,Bugis MRT Station.,"Along Victoria Street:2,7,12,32,33,61,62,63,80,130,133,145,197,NR8.",CENTRAL,CO-ED SCHOOL,PRIMARY,"1.30385959862561,103.856955133139"
39,FERNVALE PRIMARY SCHOOL,1 FERNVALE LANE,797701,Fernvale LRT (Sengkang West Loop),"Sengkang and Toa Payoh interchange - no 163, Along Yio Chu Kang Road, - no 70, 86, 103 and 854.",SENG KANG,CO-ED SCHOOL,PRIMARY,"1.3899793987456799,103.874100979909"
