,school_name,address,postal_code,mrt_desc,bus_desc,dgp_code,nature_code,mainlevel_code
0,NATIONAL JUNIOR COLLEGE,37 HILLCREST ROAD,288913,"BOTANIC GARDENS MRT, TAN KAH KEE MRT, SIXTH AVENUE MRT","151, 154, 156, 157, 170, 170X, 171, 174, 66, 67, 67A, 67W, 74, 852, 961, 961C",BUKIT TIMAH,CO-ED SCHOOL,MIXED LEVEL
1,TEMASEK JUNIOR COLLEGE,22 BEDOK SOUTH ROAD,469278,BEDOK MRT,"12, 16, 31, 38, 47, 137, 155, 196, 197, 229",BEDOK,CO-ED SCHOOL,MIXED LEVEL
2,VICTORIA JUNIOR COLLEGE,20 MARINE VISTA,449035,"Nearest MRT Stations:  Kembangan, Eunos","13, 16, 31, 36, 43, 48, 55, 135, 196, 196e, 197",BEDOK,CO-ED SCHOOL,JUNIOR COLLEGE
3,EUNOIA JUNIOR COLLEGE,53 MOUNT SINAI ROAD,276880,"Buona Vista MRT Station, Dover MRT Station","92, 100, 105, 106, 111, 147, 185",BISHAN,CO-ED SCHOOL,JUNIOR COLLEGE
4,ANDERSON SERANGOON JUNIOR COLLEGE,4500 ANG MO KIO AVENUE 6,569843,Yio Chu Kang MRT Station,"13, 45, 86, 162, 269, 825, 851, 852, 853",ANG MO KIO,CO-ED SCHOOL,JUNIOR COLLEGE
5,YISHUN INNOVA JUNIOR COLLEGE,3 YISHUN RING ROAD,768675,"Yishun, Khatib","800, 812, 167, 169, 171, 980",YISHUN,CO-ED SCHOOL,JUNIOR COLLEGE
6,TAMPINES MERIDIAN JUNIOR COLLEGE,21 PASIR RIS STREET 71,518799,Pasir Ris MRT Station,"3, 39, 53, 81, 89, 109, 358, 518",PASIR RIS,CO-ED SCHOOL,JUNIOR COLLEGE
7,JURONG PIONEER JUNIOR COLLEGE,21 TECK WHYE WALK,688258,Choa Chu Kang / Bt Panjang / Phoenix Station (LRT),"975, 190, 985",CHOA CHU KANG,CO-ED SCHOOL,JUNIOR COLLEGE
8,CATHOLIC JUNIOR COLLEGE,129 WHITLEY ROAD,297822,Toa Payoh MRT Station Novena MRT Station Orchard MRT Station,"105, 132, 151, 153, 154, 156, 186, 996, 985",NOVENA,CO-ED SCHOOL,JUNIOR COLLEGE
9,ANGLO-CHINESE JUNIOR COLLEGE,25 DOVER CLOSE EAST,139745,Buona Vista,"74,95,100,105,106,111,145,147,191,196,198,602",QUEENSTOWN,CO-ED SCHOOL,JUNIOR COLLEGE
